database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	METHOD	PUBCHEM	CAS	KEGG	HMDB	FREI-01736	FREI-01737	FREI-01738	FREI-01739	FREI-01740	FREI-01741	FREI-01742	FREI-01743	FREI-01744	FREI-01745	FREI-01746	FREI-01747
				1-(1-enyl-oleoyl)-GPE (P-18:1)*																	Method 2					3032314	3750240	3435704	3359628	3756114	4521938	2637226	3146797	3174046	3361623	3716415	4489681
CHEBI:77292	C44H80NO7P	CCCCCCCCCCCCCC\C=C/OC[C@H](COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC	InChI=1S/C44H80NO7P/c1-6-8-10-12-14-16-18-20-22-23-24-25-27-29-31-33-35-37-44(46)52-43(42-51-53(47,48)50-40-38-45(3,4)5)41-49-39-36-34-32-30-28-26-21-19-17-15-13-11-9-7-2/h14,16,20,22,24-25,29,31,36,39,43H,6-13,15,17-19,21,23,26-28,30,32-35,37-38,40-42H2,1-5H3/b16-14-,22-20-,25-24-,31-29-,39-36-/t43-/m1/s1	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*																	Method 2				HMDB11220	2156184	2312321	2466185	2075666	1905099	1939268	1697374	1380238	1762907	2099371	2205421	1510894
CHEBI:133647	C41H74NO7P	C(C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)CC(O[C@@H](COP(=O)(OCC[NH3+])[O-])CO/C=C\CCCCCCCCCCCCCC)=O	InChI=1S/C41H74NO7P/c1-3-5-7-9-11-13-15-17-19-20-21-22-24-26-28-30-32-34-41(43)49-40(39-48-50(44,45)47-37-35-42)38-46-36-33-31-29-27-25-23-18-16-14-12-10-8-6-4-2/h11,13,17,19,21-22,26,28,33,36,40H,3-10,12,14-16,18,20,23-25,27,29-32,34-35,37-39,42H2,1-2H3,(H,44,45)/b13-11-,19-17-,22-21-,28-26-,36-33-/t40-/m1/s1	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*																	Method 2				HMDB11352	29265006	32840712	32904932	28877732	30974760	33091326	37342832	36366336	37357184	40664456	42389220	43216656
CHEBI:84557	C42H80NO7P	[C@@H](CO/C=C\CCCCCCCCCCCCCC)(COP(OCC[N+](C)(C)C)(=O)[O-])OC(=O)CCCCCCC/C=C\C/C=C\CCCCC	InChI=1S/C42H80NO7P/c1-6-8-10-12-14-16-18-20-22-23-25-27-29-31-33-35-42(44)50-41(40-49-51(45,46)48-38-36-43(3,4)5)39-47-37-34-32-30-28-26-24-21-19-17-15-13-11-9-7-2/h14,16,20,22,34,37,41H,6-13,15,17-19,21,23-33,35-36,38-40H2,1-5H3/b16-14-,22-20-,37-34-/t41-/m1/s1	1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*																	Method 2				HMDB11211	8000633	13691076	13809789	12414594	11419037	9995782	11273804	8504353	9446159	11401538	11840466	12731581
CHEBI:133649	C39H74NO7P	P(OC[C@@H](CO/C=C\CCCCCCCCCCCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)(=O)(OCC[NH3+])[O-]	InChI=1S/C39H74NO7P/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-30-32-39(41)47-38(37-46-48(42,43)45-35-33-40)36-44-34-31-29-27-25-23-21-18-16-14-12-10-8-6-4-2/h11,13,17,19,31,34,38H,3-10,12,14-16,18,20-30,32-33,35-37,40H2,1-2H3,(H,42,43)/b13-11-,19-17-,34-31-/t38-/m1/s1	1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*																	Method 2				HMDB11343	17382060	17433066	19642408	18093756	19770024	21634480	16909072	15712524	15568937	17985196	18848828	18208908
				1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*																	Method 2					73444480	86022336	83011056	71970184	78876840	84686600	64639352	60542776	64289604	64717976	68730032	73428368
				1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*																	Method 2				HMDB11342	94703264	110444504	109078304	92920136	106119032	105655872	74011552	77931896	74340656	84337128	87796992	95703456
CHEBI:133672	C40H80NO7P	[C@@H](CO/C=C\CCCCCCCCCCCCCC)(COP(OCC[N+](C)(C)C)(=O)[O-])OC(CCCCCCCCCCCCCCC)=O	InChI=1S/C40H80NO7P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-35-45-37-39(38-47-49(43,44)46-36-34-41(3,4)5)48-40(42)33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h32,35,39H,6-31,33-34,36-38H2,1-5H3/b35-32-/t39-/m1/s1	1-(1-enyl-palmitoyl)-2-palmitoyl-GPC (P-16:0/16:0)*																	Method 2	11146967			HMDB11206	26932300	32564604	31205404	26746290	29482946	30236416	18691438	17181724	18839590	17926378	18989748	20135186
				1-(1-enyl-palmitoyl)-GPC (P-16:0)*																	Method 2	10917802			HMDB10407	6889807	10180103	8639932	7014176	8171452	11063223	8298711	7903918	8242147	9563588	10506945	13452363
CHEBI:133139	C21H44NO6P	P(OC[C@@H](CO/C=C/CCCCCCCCCCCCCC)O)(=O)(OCC[NH3+])[O-]	InChI=1S/C21H44NO6P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-17-26-19-21(23)20-28-29(24,25)27-18-16-22/h15,17,21,23H,2-14,16,18-20,22H2,1H3,(H,24,25)/b17-15+/t21-/m1/s1	1-(1-enyl-palmitoyl)-GPE (P-16:0)*																	Method 2					13541414	15716990	15967920	12859314	14549757	18765112	15651016	17612916	16683556	19432272	20782142	24558776
				1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*																	Method 2	9547058			HMDB05779	9109488	10085416	10448677	9547227	10866312	10905379	11070631	9974549	10552905	11825252	11250560	11931033
				1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)																	Method 2		144371-68-6		HMDB11375	46992404	50421048	46277624	46798084	43551176	50136616	28585126	31577452	31042382	31716470	35640744	35740324
CHEBI:133141	C23H48NO6P	C(CCCCCCCCCCCCCCCC)=COC[C@H](COP(=O)(OCC[NH3+])[O-])O	InChI=1S/C23H48NO6P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19-28-21-23(25)22-30-31(26,27)29-20-18-24/h17,19,23,25H,2-16,18,20-22,24H2,1H3,(H,26,27)/t23-/m1/s1	1-(1-enyl-stearoyl)-GPE (P-18:0)*																	Method 2					5028325	5747097	5927759	4790963	5760089	7326736	5682521	5698715	5951447	6103272	7176758	8876907
				1-arachidonoyl-GPE (20:4n6)*																	Method 3	42607465			HMDB11517	453911	405616	412862	588495	1258912	175412	4761309	4260720	2161531	3341278	2126491	1845233
CHEBI:83053	C29H49O12P	C(C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)CC(=O)OC[C@H](COP(O[C@H]1[C@@H]([C@H]([C@@H]([C@H]([C@H]1O)O)O)O)O)(=O)O)O	InChI=1S/C29H49O12P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-23(31)39-20-22(30)21-40-42(37,38)41-29-27(35)25(33)24(32)26(34)28(29)36/h6-7,9-10,12-13,15-16,22,24-30,32-36H,2-5,8,11,14,17-21H2,1H3,(H,37,38)/b7-6-,10-9-,13-12-,16-15-/t22-,24-,25-,26+,27-,28-,29-/m1/s1	1-arachidonoyl-GPI (20:4)*																	Method 3				HMDB61690	2638464	1996897	2233758	3154049	4688880	1073728	9747181	12263898	6450463	8566088	6616163	5005277
				1-arachidonylglycerol (20:4)																	Method 3	5282281	35474-99-8	C13857	HMDB11549	108280	148647	132199		245355		884361	533187	564804	424350	197730	200346
				1-dihomo-linolenylglycerol (20:3)																	Method 3					328724	551458	233949	330929	496358		1230860	2470337	480607	531381	479939	356953
CHEBI:86260	C32H66NO7P	CCCCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C	InChI=1S/C32H66NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-32(35)38-29-31(34)30-40-41(36,37)39-28-27-33(2,3)4/h31,34H,5-30H2,1-4H3/t31-/m1/s1	1-lignoceroyl-GPC (24:0)																	Method 2		325171-59-3		HMDB10405	504367	547814	597452	506325	529000	614673	829677	971694	811334	985555	1227897	1066986
CHEBI:28733	C26H50NO7P	CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C	InChI=1S/C26H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h9-10,12-13,25,28H,5-8,11,14-24H2,1-4H3/b10-9-,13-12-/t25-/m1/s1	1-linoleoyl-GPC (18:2)																	Method 2	11988421		C04100	HMDB10386	1960701	2716543	2573068	2436547	2736271	3301565	2065559	2615470	2368836	2921174	3676886	3637795
CHEBI:83058	C23H44NO7P	CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@@H](O)COP(O)(=O)OCCN	InChI=1S/C23H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)29-20-22(25)21-31-32(27,28)30-19-18-24/h6-7,9-10,22,25H,2-5,8,11-21,24H2,1H3,(H,27,28)/b7-6-,10-9-/t22-/m1/s1	1-linoleoyl-GPE (18:2)*																	Method 3	52925130			HMDB11507	803303	567572	594776	1019502	1523232	154333	1368990	4052945	1702423	2303366	1863125	1138944
				1-linoleoyl-GPG (18:2)*																	Method 3					2338848	1939250	1144503	1525396	4113723	325109		3783555	2376124	2293411	1735262	2189037
CHEBI:133077	C27H49O12P	O(C(=O)CCCCCCC/C=C\C/C=C\CCCCC)C[C@H](COP(O[C@H]1[C@@H]([C@H]([C@@H]([C@H]([C@H]1O)O)O)O)O)(=O)O)O	InChI=1S/C27H49O12P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(29)37-18-20(28)19-38-40(35,36)39-27-25(33)23(31)22(30)24(32)26(27)34/h6-7,9-10,20,22-28,30-34H,2-5,8,11-19H2,1H3,(H,35,36)/b7-6-,10-9-/t20-,22-,23-,24+,25-,26-,27-/m1/s1	1-linoleoyl-GPI (18:2)*																	Method 3					1587132	1067737	1160755	2111044	3053528	492803	5815876	8030674	4284002	4091558	4172014	2951832
				1-linoleoylglycerol (18:2)																	Method 3	5283469	2277-28-3			533112	1252156	762188	310293	559247		3951749	2988764	1837391	4066897	910243	1979867
				1-margaroylglycerol (17:0)																	Method 3	107036	68002-72-2			1158660	913147	425945	1355604	939284	190625	4975930	6983522	2163563	2979682	2966560	1810663
				1-meadoylglycerol (20:3n9)*																	Method 3					371203	294168	121696	367746	243482		366977	1163800	150748	207893	402113	106775
CHEBI:70958	C7H11N3O2	Cn1cnc(CC(N)C(O)=O)c1	InChI=1S/C7H11N3O2/c1-10-3-5(9-4-10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)	1-methylhistidine																	Method 1	92105	332-80-9	C01152	HMDB00001	344774	388769	456669	191261	421385	416886	939717	1168249	1579669	1217524	1631742	2008149
				1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*																	Method 2				HMDB07883	5939051	8009707	6506384	5624125	7008359	9664533	3633888	3737228	3947885	3736287	4808859	5635319
CHEBI:75062	C38H76NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(CCCCCCCCCCCCCCC)=O)COC(=O)CCCCCCCCCCCCC	InChI=1S/C38H76NO8P/c1-6-8-10-12-14-16-18-19-21-23-25-27-29-31-38(41)47-36(35-46-48(42,43)45-33-32-39(3,4)5)34-44-37(40)30-28-26-24-22-20-17-15-13-11-9-7-2/h36H,6-35H2,1-5H3/t36-/m1/s1	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)																	Method 2	129657	69525-80-0		HMDB07869	116612752	136389440	128670016	114793400	109212152	121416424	75579136	74636176	72650728	83439136	87295808	85106464
				1-myristoylglycerol (14:0)																	Method 3	79050	75685-84-6	C01885	HMDB11561	1260604	1275580	637055	950134	1558458		12217055	13501102	4373360	4267305	3098179	2641118
				1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*																	Method 2				HMDB09069	20020064	23754228	24756278	20987878	23070620	26995284	16065637	17343662	17646308	18995528	19735190	21347702
CHEBI:84814	C48H82NO8P	CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@H](COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC	InChI=1S/C48H82NO8P/c1-6-8-10-12-14-16-18-20-22-23-24-25-27-29-31-33-35-37-39-41-48(51)57-46(45-56-58(52,53)55-43-42-49(3,4)5)44-54-47(50)40-38-36-34-32-30-28-26-21-19-17-15-13-11-9-7-2/h8,10,14,16,20-22,24-26,29,31,35,37,46H,6-7,9,11-13,15,17-19,23,27-28,30,32-34,36,38-45H2,1-5H3/b10-8-,16-14-,22-20-,25-24-,26-21-,31-29-,37-35-/t46-/m1/s1	1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*																	Method 2				HMDB08123	31832764	39116816	37450328	33691288	36188976	39743364	27948196	28146472	28602234	32010484	30891168	32398456
				1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*																	Method 2					6676668	7412700	7099766	6327677	6432479	7709031	4458295	4457932	4690341	5093674	4842714	4917159
CHEBI:74977	C41H76NO8P	O([C@@H](COP(=O)(OCC[NH3+])[O-])COC(CCCCCCC/C=C\CCCCCCCC)=O)C(CCCCCCC/C=C\C/C=C\CCCCC)=O	InChI=1S/C41H76NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-40(43)47-37-39(38-49-51(45,46)48-36-35-42)50-41(44)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h12,14,17-20,39H,3-11,13,15-16,21-38,42H2,1-2H3,(H,45,46)/b14-12-,19-17-,20-18-/t39-/m1/s1	1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*																	Method 2	9546753			HMDB05349	19566732	21696484	23053044	20158784	21071824	22240632	16987088	16972776	18582888	20925268	19924832	20577620
				1-oleoyl-GPC (18:1)																	Method 2	16081932	19420-56-5		HMDB02815	64794112	85503480	77630424	61753016	83639528	95144664	72711808	67491496	71996920	82030264	79533320	104731632
				1-oleoyl-GPE (18:1)																	Method 2	9547071	89576-29-4		HMDB11506	25949332	31342382	29626458	27167464	29322072	36411280	28875834	28801158	29164208	32187882	34935248	41255556
				1-oleoyl-GPG (18:1)*																	Method 3					10855828	11397818	7551837	10461655	19304148	3324664	27900838	27713614	15486807	18826592	11305317	11326115
CHEBI:82753	C27H51O12P	CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@@H](O)COP(O)(=O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O	InChI=1S/C27H51O12P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(29)37-18-20(28)19-38-40(35,36)39-27-25(33)23(31)22(30)24(32)26(27)34/h9-10,20,22-28,30-34H,2-8,11-19H2,1H3,(H,35,36)/b10-9-/t20-,22-,23-,24+,25-,26-,27-/m1/s1	1-oleoyl-GPI (18:1)*																	Method 3					9060164	7142368	7548277	10406513	17256372	2808393	24688812	34972280	15672106	20050456	16119751	9640598
				1-oleoyl-GPS (18:1)																	Method 3	9547099	326589-90-6		HMDB61694	1342224	968740	1080426	1378566	2665901	470330	3233214	4600136	2041984	2889379	2043150	1289125
				1-oleoylglycerol (18:1)																	Method 3	5283468	111-03-5		HMDB11567	21561532	10103149	6599015	14559951	15537521	2316911	39441436	69873184	21563000	21668348	28732524	14146370
				1-palmitoleoyl-2-oleoyl-GPC (16:1/18:1)*																	Method 2					286889184	346279904	331517632	292981856	297673664	344282016	257923552	267267504	264344480	298634080	311086752	312460096
				1-palmitoleoyl-2-oleoyl-GPE (16:1/18:1)*																	Method 2					35655088	40929128	44133788	41408796	38242156	42015140	29272584	33637052	33945028	37804108	42238516	38550492
				1-palmitoleoyl-2-oleoyl-GPG (16:1/18:1)*																	Method 4					6939295	6645693	3638320	6718934	6978128	6806000	10613395	11002220	10868138	10265342	12398309	11296291
				1-palmitoleoyl-2-oleoyl-GPI (16:1/18:1)*																	Method 4					2711667	2141847	2316995	3492800	2622855	2410188	4634615	4611990	4390648	4384440	5170891	4312562
				1-palmitoleoyl-GPC (16:1)*																	Method 2	24779461			HMDB10383	4304973	8856204	9758108	8043234	9018030	10116562	11379833	11987048	10468495	10891251	16731000	17855108
				1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)																	Method 2	10747814	35418-58-7		HMDB07982	62921548	54529532	54065852	63127096	71917896	56477616	56192944	58365056	55145024	57436884	59009716	67244744
CHEBI:73009	C41H74NO8P	C(C[NH3+])OP(=O)([O-])OC[C@H](OC(CCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)=O)COC(=O)CCCCCCCCCCCCCCC	InChI=1S/C41H74NO8P/c1-3-5-7-9-11-13-15-17-18-19-20-22-24-26-28-30-32-34-41(44)50-39(38-49-51(45,46)48-36-35-42)37-47-40(43)33-31-29-27-25-23-21-16-14-12-10-8-6-4-2/h11,13,17-18,20,22,26,28,39H,3-10,12,14-16,19,21,23-25,27,29-38,42H2,1-2H3,(H,45,46)/b13-11-,18-17-,22-20-,28-26-/t39-/m1/s1	1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*																	Method 2	9546800			HMDB05323	10655170	12845003	13964267	11431072	13149428	15697968	10046319	10800856	10515682	11544832	11726419	13668730
CHEBI:74963	C46H80NO8P	CCCCCCCCCCCCCCCC(=O)OC[C@H](COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC	InChI=1S/C46H80NO8P/c1-6-8-10-12-14-16-18-20-21-22-23-24-25-27-29-31-33-35-37-39-46(49)55-44(43-54-56(50,51)53-41-40-47(3,4)5)42-52-45(48)38-36-34-32-30-28-26-19-17-15-13-11-9-7-2/h8,10,14,16,20-21,23-24,27,29,33,35,44H,6-7,9,11-13,15,17-19,22,25-26,28,30-32,34,36-43H2,1-5H3/b10-8-,16-14-,21-20-,24-23-,29-27-,35-33-/t44-/m1/s1	1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)																	Method 2	6441886	59403-54-2		HMDB07991	27315590	33329952	31140304	28821574	30485824	34492636	32019882	32418664	32832168	38613028	36741296	37563676
CHEBI:78261	C43H74NO8P	CCCCCCCCCCCCCCCC(=O)OC[C@H](COP([O-])(=O)OCC[NH3+])OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC	InChI=1S/C43H74NO8P/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-24-26-28-30-32-34-36-43(46)52-41(40-51-53(47,48)50-38-37-44)39-49-42(45)35-33-31-29-27-25-23-16-14-12-10-8-6-4-2/h5,7,11,13,17-18,20-21,24,26,30,32,41H,3-4,6,8-10,12,14-16,19,22-23,25,27-29,31,33-40,44H2,1-2H3,(H,47,48)/b7-5-,13-11-,18-17-,21-20-,26-24-,32-30-/t41-/m1/s1	1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*																	Method 2	9546799			HMDB05324	3784307	4438233	4227914	3572748	3554224	4101099	3456237	3904971	3737000	4595004	3884551	4318621
CHEBI:73002	C42H80NO8P	C(C[N+](C)(C)C)OP(=O)([O-])OC[C@H](OC(CCCCCCC/C=C\C/C=C\CCCCC)=O)COC(=O)CCCCCCCCCCCCCCC	InChI=1S/C42H80NO8P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43(3,4)5)38-48-41(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h14,16,20-21,40H,6-13,15,17-19,22-39H2,1-5H3/b16-14-,21-20-/t40-/m1/s1	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)																	Method 2	5287971	40811-94-7		HMDB07973												
CHEBI:73008	C39H74NO8P	[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[NH3+])OC(=O)CCCCCCC\C=C/C\C=C/CCCCC	InChI=1S/C39H74NO8P/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-39(42)48-37(36-47-49(43,44)46-34-33-40)35-45-38(41)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h11,13,17-18,37H,3-10,12,14-16,19-36,40H2,1-2H3,(H,43,44)/b13-11-,18-17-/t37-/m1/s1	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)																	Method 2	9546747			HMDB05322	21349770	24186876	19552820	16222644	24015854	25825256	19083364	14609813	16322805	18435916	17214238	20539986
CHEBI:73001	C42H82NO8P	C(OP(=O)(OCC[N+](C)(C)C)[O-])[C@@H](COC(CCCCCCCCCCCCCCC)=O)OC(CCCCCCC/C=C\CCCCCCCC)=O	InChI=1S/C42H82NO8P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43(3,4)5)38-48-41(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h20-21,40H,6-19,22-39H2,1-5H3/b21-20-/t40-/m1/s1	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)																	Method 2	6436017	26853-31-6;26853-31-6		HMDB07972	582066880	665685568	656851200	583121088	604291968	705869312	550747456	567657728	551508160	606313984	636251200	706364288
				1-palmitoyl-2-oleoyl-GPE (16:0/18:1)																	Method 2	5283496	26662-94-2		HMDB05320	86707320	103828640	102929728	87445544	98731904	108771272	85846776	85452256	86576272	89695096	98781504	97489520
				1-palmitoyl-2-oleoyl-GPG (16:0/18:1)																	Method 2	5283509				8317610	10612675	10275238	8329924	9208303	12184876	5993261	6649093	5872447	7421489	7950659	9337972
CHEBI:73215	C43H81O13P	[C@@H]1([C@@H]([C@@H]([C@@H]([C@H]([C@@H]1O)O)O)O)OP(OC[C@@H](COC(CCCCCCCCCCCCCCC)=O)OC(CCCCCCC/C=C\CCCCCCCC)=O)(=O)O)O	InChI=1S/C43H81O13P/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-37(45)55-35(34-54-57(51,52)56-43-41(49)39(47)38(46)40(48)42(43)50)33-53-36(44)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h17-18,35,38-43,46-50H,3-16,19-34H2,1-2H3,(H,51,52)/b18-17-/t35-,38-,39-,40+,41-,42-,43-/m1/s1	1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*																	Method 2				HMDB09783	11711462	14718697	14437439	12942263	13799733	15662046	21056516	22056372	17128940	23203110	25296452	22988864
				1-palmitoyl-2-oleoyl-GPS (16:0/18:1)																	Method 2	5283499	40290-44-6	C13880	HMDB12357	27256962	31593708	31689942	25331674	27301238	31706570	36463340	35347608	35253816	33496698	39159476	41962212
CHEBI:74000	C40H78NO8P	O(C(=O)CCCCCCC/C=C\CCCCCC)[C@H](COC(CCCCCCCCCCCCCCC)=O)COP(=O)([O-])OCC[N+](C)(C)C	InChI=1S/C40H78NO8P/c1-6-8-10-12-14-16-18-20-22-24-26-28-30-32-39(42)46-36-38(37-48-50(44,45)47-35-34-41(3,4)5)49-40(43)33-31-29-27-25-23-21-19-17-15-13-11-9-7-2/h17,19,38H,6-16,18,20-37H2,1-5H3/b19-17-/t38-/m1/s1	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*																	Method 2				HMDB07969	497978496	585191680	557637248	501136768	503076352	594157760	555127552	578075200	550921536	636042688	680049984	682702592
CHEBI:73000	C42H84NO8P	[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC	InChI=1S/C42H84NO8P/c1-6-8-10-12-14-16-18-20-21-23-25-27-29-31-33-35-42(45)51-40(39-50-52(46,47)49-37-36-43(3,4)5)38-48-41(44)34-32-30-28-26-24-22-19-17-15-13-11-9-7-2/h40H,6-39H2,1-5H3/t40-/m1/s1	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)																	Method 2		59403-51-9		HMDB07970	16302970	17859924	17683416	15723654	18577440	17773688	18789450	18452738	19176876	20024936	17009632	22610896
CHEBI:72998	C24H50NO7P	[C@@H](COC(=O)CCCCCCCCCCCCCCC)(COP(OCC[N+](C)(C)C)(=O)[O-])O	InChI=1S/C24H50NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-24(27)30-21-23(26)22-32-33(28,29)31-20-19-25(2,3)4/h23,26H,5-22H2,1-4H3/t23-/m1/s1	1-palmitoyl-GPC (16:0)																	Method 2	86554	17364-16-8		HMDB10382	85209488	104279712	102762496	84104688	100046592	122998208	117504448	133274392	127858688	130874176	146382336	159777568
